,0,1,normalized
0,wishnhigh1,April 2002,"[u'problem', u'huge', u'generalizations', u'also', u'talk', u'japanese', u'almost', u'exclusivly', u'honda', u'toyota', u'subaru', u'mazda', u'isuzu', u'mitsubishi', u'daihatsu', u'suzuki', u'far', u'make', u'seem', u'keep', u'japanese', u'culture', u'toyota', u'honda', u'many', u'american', u'european', u'make', u'capable', u'higher', u'quality', u'japanese', u'car', u'help', u'generalization', u'much', u'generalizations', u'stop', u'stop', u'brand', u'nations']"
1,kd6aw1,April 2002,"[u'find', u'powerful', u'car', u'like', u'chevrolet', u'difference', u'performance', u'practical', u'standpoint', u'really', u'issue', u'car', u'faster', u'ever', u'dream', u'drive', u'without', u'either', u'kill', u'get', u'ticket', u'time', u'automatic', u'love', u'automatic', u'enjoy', u'coffee', u'shave', u'talk', u'cel', u'phone', u'hug', u'wife', u'drive', u'rush', u'hour', u'traffic', u'feel', u'urge', u'often', u'shift', u'manumatic', u'pretend', u'stick', u'get', u'ferrari', u'paddle', u'shift', u'ever', u'want', u'another', u'clutch', u'opinion', u'paulel', u'cajon', u'california']"
2,fwatson,April 2002,"[u'theory', u'explain', u'english', u'car', u'country', u'steep', u'tradition', u'produce', u'poor', u'quality', u'car', u'little', u'inovation', u'look', u'traditionalist', u'country', u'manage', u'acura', u'honda', u'produce', u'stirling', u'quote', u'subaru', u'mazda', u'isuzu', u'mitsubishi', u'daihatsu', u'suzuki', u'far', u'make', u'seem', u'keep', u'japanese', u'culture', u'toyota', u'honda', u'car', u'general', u'reflect', u'perfectionist', u'attitude', u'post', u'virtually', u'exception', u'overall', u'quality', u'japanese', u'brand', u'car', u'especially', u'honda', u'finish', u'considerably', u'excel', u'american', u'brand', u'read', u'due', u'attitude', u'japanese', u'management', u'accept', u'mediocre', u'craftsmanship', u'abilities', u'assembly', u'line', u'workers', u'may', u'point', u'though', u'japanese', u'brand', u'show', u'high', u'level', u'innovation', u'american', u'german', u'brand', u'country', u'use', u'wankle', u'rotary', u'miller', u'cycle', u'engines', u'introduce', u'us', u'vtec', u'engines', u'etc', u'american', u'management', u'lean', u'strongly', u'bottom', u'line', u'ceo', u'bonuses', u'refinement', u'polish', u'fall', u'wayside', u'casuality', u'heavy', u'hand', u'management', u'style']"
3,dave330i,April 2002,"[u'automatic', u'enjoy', u'coffee', u'shave', u'talk', u'cel', u'phone', u'hug', u'wife', u'drive', u'rush', u'hour', u'traffic', u'truly', u'critical', u'things', u'one', u'drive']"
4,blueguydotcom,April 2002,"[u'mention', u'rush', u'hour', u'traffic', u'like', u'anything', u'else', u'like', u'rush', u'hour', u'demand', u'anything', u'driver', u'read', u'book', u'traffic', u'let', u'clutch', u'apply', u'gas', u'push', u'clutch', u'glide', u'repeat', u'snooze']"
5,fredvh,May 2002,"[u'edmunds', u'new', u'feature', u'call', u'true', u'cost', u'list', u'one', u'research', u'various', u'vehicles', u'new', u'car', u'head', u'one', u'subject', u'hyundai', u'particular', u'vehicle', u'useful', u'compare', u'one', u'vehicle', u'another', u'true', u'cost', u'take', u'purchase', u'price', u'add', u'things', u'like', u'depreciation', u'insurance', u'license', u'fee', u'etc', u'give', u'figure', u'ownership', u'even', u'tailor', u'particular', u'zip', u'code', u'try', u'vehicles', u'useful']"
6,cybersol,May 2002,"[u'chance', u'look', u'person', u'volkwagen', u'honda', u'entry', u'performance', u'luxury', u'sedan', u'category', u'upcoming', u'next', u'year', u'vehicles', u'honda', u'category']"
7,blueguydotcom,May 2002,"[u'really', u'performance', u'sedan', u'drive', u'one', u'take', u'bmw', u'night', u'day', u'volkswagen', u'nice', u'inside', u'good', u'cruise', u'handle', u'akin', u'rid', u'pig', u'hurry']"
8,rayainsw,May 2002,"[u'beg', u'admit', u'bias', u'obviously', u'since', u'buy', u'one', u'believe', u'really', u'performance', u'test', u'drive', u'several', u'bmw', u'others', u'make', u'final', u'choice', u'suppose', u'term', u'performance', u'sedan', u'could', u'define', u'number', u'ways', u'chrysler', u'offer', u'everything', u'want', u'nothing', u'recent', u'nissan', u'tag', u'line', u'take', u'straight', u'line', u'acceleration', u'instance', u'volkswagen', u'literature', u'quote', u'sec', u'chrysler', u'pretty', u'quick', u'door', u'sedan', u'fearless', u'prediction', u'future', u'test', u'acceleration', u'number', u'volkswagen', u'claim', u'quarter', u'mile', u'base', u'number', u'things', u'instance', u'may', u'car', u'driver', u'comparison', u'include', u'lincoln', u'sport', u'audi', u'audi', u'audi', u'test', u'virtually', u'identical', u'curb', u'weight', u'identical', u'final', u'drive', u'wheel', u'tire', u'size', u'tiptronic', u'hp', u'tq', u'audi', u'test', u'result', u'sec', u'quarter', u'mile', u'thus', u'ought', u'slightly', u'better', u'see', u'btw', u'test', u'lincoln', u'sport', u'test', u'turn', u'acceleration', u'number', u'quarter', u'mile', u'previous', u'car', u'seem', u'reasonable', u'feel', u'quicker', u'set', u'aside', u'notorious', u'everyone', u'butt', u'dyno', u'pull', u'lateral', u'g', u'bmw', u'series', u'package', u'almost', u'certainly', u'aggressive', u'rubber', u'expect', u'provide', u'enough', u'grip', u'entertainment', u'value', u'sane', u'public', u'road', u'speed', u'rayoff', u'shortly', u'put', u'miles', u'lunch']"
9,cmnott,June 2002,"[u'recently', u'go', u'list', u'entry', u'level', u'car', u'test', u'drive', u'heaven', u'nice', u'car', u'best', u'enough', u'power', u'chrysler', u'great', u'motor', u'though', u'fas', u'smoothness', u'interior', u'average', u'nothing', u'better', u'leather', u'wood', u'help', u'either', u'dig', u'better', u'power', u'although', u'find', u'power', u'linear', u'really', u'move', u'car', u'sensation', u'thrust', u'lack', u'like', u'sunroof', u'leather', u'std', u'better', u'value', u'overall', u'plus', u'std', u'wheel', u'although', u'nice', u'manual', u'tranny', u'smooth', u'motor', u'hate', u'interior', u'feel', u'claustrophobic', u'chintzy', u'jaguar', u'like', u'sport', u'like', u'grey', u'stain', u'maple', u'look', u'like', u'jag', u'nearly', u'purchase', u'british', u'race', u'green', u'ivory', u'leather', u'beautiful', u'walnut', u'options', u'car', u'riciulously', u'overprice', u'make', u'bmw', u'look', u'like', u'bargain', u'hunter', u'bad', u'nice', u'motor', u'good', u'manual', u'tranny', u'ride', u'brake', u'strong', u'one', u'thing', u'motor', u'feel', u'go', u'like', u'advertise', u'nicest', u'interior', u'porky', u'ponderous', u'even', u'sport', u'package', u'feel', u'suzuki', u'easily', u'worst', u'tranny', u'available', u'segment', u'nice', u'interior', u'leather', u'average', u'could', u'barely', u'tell', u'difference', u'leather', u'leatherette', u'good', u'thing', u'cheap', u'bad', u'opt', u'leather', u'way', u'leather', u'bmw', u'much', u'nice', u'fast', u'think', u'would', u'drive', u'ford', u'ford', u'rocket', u'line', u'impressive', u'afterwards', u'nicer', u'seat', u'support', u'interior', u'gloomy', u'lb', u'motor', u'audible', u'delight', u'audi', u'sound', u'amaze', u'compare', u'think', u'backpressure', u'gobble', u'exhaust', u'note', u'exhaust', u'would', u'perfect', u'give', u'away', u'msrp', u'people', u'definitely', u'buy', u'look', u'date', u'beside', u'new', u'go', u'look', u'one', u'showroom', u'impress', u'without', u'manual', u'tranny', u'interest', u'one', u'bite', u'still', u'manage', u'drive', u'one', u'impress', u'torque', u'definitely', u'thrust', u'others', u'lack', u'except', u'nice', u'seat', u'neat', u'touch', u'rear', u'passengers', u'really', u'like', u'dynamics', u'car', u'tranny', u'leave', u'chrysler', u'cold', u'honda', u'finish', u'poor', u'maybe', u'early', u'model', u'dicker', u'sticker', u'make', u'cost', u'much', u'audi', u'bmw', u'ls', u'good', u'handle', u'crisp', u'speed', u'engine', u'thrashy', u'high', u'rev', u'particularly', u'bad', u'need', u'rev', u'really', u'move', u'torque', u'lack', u'like', u'car', u'overall', u'especially', u'sport', u'another', u'auto', u'tranny', u'incredible', u'motor', u'definitely', u'favourite', u'far', u'sound', u'concern', u'interior', u'average', u'handle', u'excellent', u'volvo', u'choose', u'car', u'thrust', u'come', u'think', u'less', u'less', u'quite', u'close', u'lighter', u'fwd', u'torque', u'steer', u'evident', u'beyond', u'question', u'best', u'seat', u'best', u'stereo', u'average', u'steer', u'feel', u'fall', u'behind', u'jaguar', u'bmw', u'brake', u'strong', u'grabby', u'take', u'get', u'use', u'amaze', u'power', u'style', u'seem', u'decent', u'line', u'easily', u'pull', u'hardest', u'price', u'also', u'consideration', u'cheaper', u'bmw', u'audi', u'jaguar', u'drive', u'cadillac', u'sure', u'excellent', u'conclusion', u'excellent', u'car', u'even', u'though', u'nitpick', u'would', u'fine', u'driveway', u'honestly']"
10,blueguydotcom,June 2002,"[u'grave', u'misfortune', u'drive', u'cadillac', u'league', u'bmw', u'audi', u'infiniti', u'even', u'lesser', u'cadillac', u'drive', u'speed', u'sport', u'model', u'sticker', u'gasp', u'tranny', u'rough', u'rough', u'almost', u'ford', u'bad', u'interior', u'felt', u'cheap', u'lot', u'hard', u'plastic', u'little', u'way', u'substantial', u'materials', u'throttle', u'response', u'weak', u'require', u'excessive', u'modulation', u'rather', u'awkward', u'gas', u'pedal', u'car', u'roll', u'bed', u'technology', u'automatic', u'brake', u'distribution', u'one', u'thing', u'salesmen', u'keep', u'insist', u'channel', u'abs', u'impressive', u'handle', u'nothing', u'like', u'claim', u'car', u'mags', u'make', u'slow', u'react', u'boat', u'turn', u'wheel', u'feel', u'car', u'undulate', u'slowly', u'shift', u'directions', u'impressive', u'least', u'fact', u'salesguy', u'ask', u'chrysler', u'think', u'drive', u'tell', u'cadillac', u'even', u'real', u'competitor', u'germans', u'japanese', u'snort', u'remind', u'chrysler', u'caddy', u'sport', u'car', u'yeah', u'well', u'caddy', u'sit', u'lot', u'heap']"
11,jagboyxkr,June 2002,"[u'congradulations', u'new', u'volvo', u'great', u'look', u'car', u'hope', u'happy', u'saw', u'really', u'nice', u'one', u'front', u'chrysler', u'morning', u'fun']"
